序号,URL,视频标题,静态开始时间1,静态结束时间1,静态开始时间2,静态结束时间2
1,https://www.bilibili.com/video/BV1G841127eX?vd_source=8f7737e19f871c9ca6a279516874b9c9&spm_id_from=333.788.videopod.sections,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ✈️ 4K视频 | 旅行 | 日本航拍 | 日语歌单,0000,0017,0017,0043
2,https://www.bilibili.com/video/BV1UDeoz5EX7/?spm_id_from=333.1387.search.video_card.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 航拍意大利 | 旅行歌单,1119,1140,,
3,https://www.bilibili.com/video/BV1hV4y117hg?spm_id_from=333.788.videopod.sections&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 瑞士小镇漫步 2 | 舒缓歌单,0000,0032,,
4,https://www.bilibili.com/video/BV1bV411T7yV?spm_id_from=333.788.videopod.sections&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ✈️ 4K视频 | 旅行 | 秘鲁利马 | 旅行歌单,0000,0020,,
5,https://www.bilibili.com/video/BV1pm4y1C75M/?spm_id_from=333.1387.search.video_card.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ☘ 4K视频 | 旅行 | 苏格兰航拍 | 巫师3音乐歌单,0011,0031,,
6,https://www.bilibili.com/video/BV1Bv4y1G7VN/?spm_id_from=333.1387.search.video_card.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚗 4K视频 | 旅行 | 航拍洛杉矶 | 好心情歌单,0204,0519,,
7,https://www.bilibili.com/video/BV14k4y1h7Zp/?spm_id_from=333.1387.search.video_card.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🗽 4K视频 | 旅行 | 航拍纽约 Part 2 | Boyz II Men歌单,2329,2350,,
8,https://www.bilibili.com/video/BV1RT411Q7Qc/?spm_id_from=333.337.search-card.all.click,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ✈️ 4K视频 | 旅行 | 航拍伦敦 | POP歌单,0013,0044,,
9,https://www.bilibili.com/video/BV14XWLziEoL?spm_id_from=333.788.recommend_more_video.-1&vd_source=7e8df45e46a6a9b9da143b190033d69c,【4K】俄罗斯 南乌拉尔自然保护区,0049,0114,,
10,https://www.bilibili.com/video/BV1BdHKzREXN/?spm_id_from=333.337.search-card.all.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,秋天森林漫步-超清 4K,3012,3031,,
11,https://www.bilibili.com/video/BV1BsWFzzEzq/?spm_id_from=333.337.search-card.all.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,地球最梦幻的风景 ｜杜比视界 4K HDR (60FPS) ✨🌍,0214,0242,,
12,https://www.bilibili.com/video/BV13r421M7ym/?spm_id_from=333.337.search-card.all.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,"【4K航拍】日本 东京 Tokyo, Japan 🇯🇵",0156,0223,,
13,https://www.bilibili.com/video/BV1DT41117wb/?spm_id_from=333.337.search-card.all.click&vd_source=7e8df45e46a6a9b9da143b190033d69c,【Norway挪威 4K】最接近天堂的地方,0621,0646,,
14,https://www.bilibili.com/video/BV1baT1zCEX8/?share_source=copy_web&vd_source=ed11588434cf34660f979012975476c8,【【地球律动】4K，60帧极清画质无水印，空镜模板航拍素材。每一帧都是桌面背景，带你进入冥想时间放松时刻，治愈系梦中家园，领略世界各地的奇美景色，助眠神器。】,0544,0605,,
15,https://www.bilibili.com/video/BV1SG4y1Z7dV/?share_source=copy_web&vd_source=ed11588434cf34660f979012975476c8,【超长绝美风景休闲放松片合集（伴以舒缓音乐与自然噪声）冰岛 超清 4K】,0431,0451,0453,0515
16,https://www.bilibili.com/video/BV1hM411k7kQ/?share_source=copy_web&vd_source=ed11588434cf34660f979012975476c8,【视频合集 治愈风景_超清 4K（持续更新中）】,0320,0350,0352,0418
17,https://www.bilibili.com/video/BV1BsWFzzEzq/?share_source=copy_web,【地球最梦幻的风景 ｜杜比视界 4K HDR (60FPS) ✨🌍】,1755,1817,4445,4406
18,https://www.bilibili.com/video/BV1pa411C7GH?vd_source=8f7737e19f871c9ca6a279516874b9c9,【【纪录片】狂野之美：国家公园探险 4K HDR 7.1声道 中英双语特效字幕 National Parks Adventure (2016)】,0106,0158,0203,0227
19,https://www.bilibili.com/video/BV1aXb8z8EP5?vd_source=8f7737e19f871c9ca6a279516874b9c9,【探索马里亚纳海沟悬崖和古代失落遗址 4K 世界】,0033,0108,0212,0234
20,https://www.bilibili.com/video/BV1p1n8zdEAk?vd_source=8f7737e19f871c9ca6a279516874b9c9,【【4K无水印】全球风景视觉之旅】,0101,0130,0223,0250
21,https://www.bilibili.com/video/BV1EcHuzFEx2?vd_source=8f7737e19f871c9ca6a279516874b9c9,【【4K】航拍 阿尔卑斯山】,0124,0145,0315,0343
22,https://www.bilibili.com/video/BV1NKZPYBESH?vd_source=8f7737e19f871c9ca6a279516874b9c9,【航拍中国【1】自制，大美中国，超长航拍纪录片｜4K】,0705,0740,1055,1120
23,https://www.bilibili.com/video/BV1Ng4y1p7DZ?vd_source=8f7737e19f871c9ca6a279516874b9c9,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 漫步意大利小镇 | 旅行歌单,0112,0640,0904,0930
24,https://www.bilibili.com/video/BV1KehqzCEpq?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 寒冷雪天 | 雪天歌单】,0018,0121,0205,0231
25,https://www.bilibili.com/video/BV1mGeozgEBz?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 瑞士自驾 | 旅行歌单】,0000,0050,0124,0503
26,ttps://www.bilibili.com/video/BV1vj411L7Dq?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❄️ 4K视频 | 旅行 | 米伦小镇Mürren | 冬季歌单】h,0147,0313,0636,0736
27,https://www.bilibili.com/video/BV1Hy1hYVEPX?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 治愈的夜晚 | 休闲歌单】,0000,0230,0245,0345
28,https://www.bilibili.com/video/BV1q1421t7vQ?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 瑞士风光 | 旅行歌单】,0108,0138,0442,0508
29,https://www.bilibili.com/video/BV1re411U7PG?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ⛰ 4K视频 | 旅行 | 独自乘坐火车上山 | 旅途歌单】,0036,0132,0509,0534
30,https://www.bilibili.com/video/BV16b4y1T7qS?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🍃 4K视频 | 旅行 | 挪威风景 | 北欧歌单】,0143,0214,0252,0338
31,https://www.bilibili.com/video/BV1aG411S7jQ?vd_source=8f7737e19f871c9ca6a279516874b9c9,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❄️ 4K视频 | 旅行 | 雪国列车 | 冬季歌单】,0000,0038,1132,1158
32,https://b23.tv/nvhqSGG,【【4K】瑞士劳特布龙嫩的雪地漫步-哔哩哔哩】,0430,0450,0520,0540
33,https://b23.tv/RB0KmVK,【4K 在森林漫步，聆听自然之声-哔哩哔哩】,0000,0020,0021,0041
34,https://b23.tv/bpE7Cbp,"【【4K】""凌晨3点的塞勒姆之夜：马萨诸塞州城市探索""-哔哩哔哩】",1833,1853,1854,1914
35,https://b23.tv/JtvN7O4,【【4K60帧】放松解压：第一视角驾车在长崎县岛原半岛欣赏沿途风景（橘湾、仁田峠）2025年7月31日 | 作者：Dashcam Roadshow-哔哩哔哩】,2952,3012,3053,3113
36,https://b23.tv/ktclIOc,【【4K】朦胧秋的早晨新英格兰-哔哩哔哩】,0636,0656,0657,0717
37,https://b23.tv/0uKiNHA,【【4K】芬兰夜光雪地漫步-哔哩哔哩】,0205,0240,,
38,https://b23.tv/f2cNUpB,【【4K】北风轻拂，晨曦初露-哔哩哔哩】,0240,0458,,
39,https://b23.tv/AM4g2co,【【4K60帧】放松解压：第一视角驾车欣赏瑞士优美风景 250823 | 作者：Tourist Car-哔哩哔哩】,2713,2739,,
40,https://b23.tv/p7DXBxD,【【4K】在雪地里行走芬兰的冬天-哔哩哔哩】,0156,0644,,
41,https://b23.tv/5oRV3t8,【【4K高清】挪威——极光与森林共生的北欧净土-哔哩哔哩】,0143,0203,,
42,https://b23.tv/mMGduNz,【来自火星以惊人的4K分辨率相片【中文字幕】-哔哩哔哩】,0102,0144,,
43,https://b23.tv/eTYkEYr,【【4K】第一视角驾驶：芬兰🇫🇮从凯斯蒂莱开车到比洪泰 | 2024年6月-哔哩哔哩】,2000,2026,,
44,https://b23.tv/ewXRNzM,【【4K HDR】自驾219国道，塔城-喀纳斯路段 | 第一人称视角 | 山路行车 | 沉浸式驾车-哔哩哔哩】,1933,2000,,
45,https://b23.tv/EX54Ro4,【在降雪中漫步 日本京都岚山| | 京都美丽的雪4K-哔哩哔哩】,3858,3949,,
46,https://b23.tv/oJeOOM7,【【4K】米伦落霞，瑞士山间的诗意黄昏-哔哩哔哩】,0006,0201,0204,0236
47,https://www.bilibili.com/video/BV1eT411D7ty?vd_source=f1effb29d152e5eac58d96cf56b76091,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 天堂般的小镇 | Acoustic歌单,0330,0350,,
48,https://www.bilibili.com/video/BV1NM411P7cr?vd_source=f1effb29d152e5eac58d96cf56b76091,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 欧洲小镇 | 抒情歌单,0330,0350,,
49,https://www.bilibili.com/video/BV1Fd4y1a7Qd?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌇 4K视频 | 旅行 | 意大利小镇的落日 | 放松的流行风格歌单】,0100,0150,,
50,https://www.bilibili.com/video/BV1a54y1P7sH?vd_source=f1effb29d152e5eac58d96cf56b76091,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 雪后小镇漫步 | 最后的冬天歌单,0010,0150,,
51,https://www.bilibili.com/video/BV1ve4y1P7px?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🌊 4K视频 | 旅行 | 一起去南极 | 轻松歌单】,0010,0200,,
52,https://www.bilibili.com/video/BV1G24y1q7kF?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 雨中波士顿 | 雨天歌单】,0036,0104,,
53,https://www.bilibili.com/video/BV1Jg4y1p7Ji?vd_source=f1effb29d152e5eac58d96cf56b76091,[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚗 4K视频 | 雪后自驾挪威 | BENEE歌单,0100,0124,,
54,https://www.bilibili.com/video/BV1QW4y1T7kF?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚗 4K视频 | 雪后自驾挪威 | BENEE歌单】,0110,0200,,
55,https://www.bilibili.com/video/BV1C3411R7hc?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ☕️ 4K视频 | 旅行 | 早晨在瓦尔登湖边散步 | 早安歌单】,0020,0108,,
56,https://www.bilibili.com/video/BV1GA411T7Jj?vd_source=f1effb29d152e5eac58d96cf56b76091,【【4K】格陵兰岛 - 风景休闲片】,0611,0633,,
57,https://www.bilibili.com/video/BV1f84y1b7Ce?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❉ 4K视频 | 旅行 | 和亲爱的你一起南极洲冒险 | 冬天歌单】,0035,0128,,
